iter	Passed	Remaining
0	149	148914
1	149	74754
2	150	49986
3	150	37597
4	151	30178
5	152	25223
6	154	21863
7	155	19264
8	156	17191
9	156	15525
10	157	14155
11	158	13011
12	158	12046
13	159	11216
14	159	10495
15	160	9863
16	160	9305
17	161	8809
18	162	8365
19	162	7967
20	163	7605
21	163	7278
22	164	6977
23	164	6702
24	165	6449
25	165	6215
26	166	5998
27	167	5811
28	168	5635
29	168	5461
30	169	5298
31	170	5148
32	170	5004
33	171	4869
34	171	4741
35	172	4621
36	173	4507
37	173	4398
38	174	4295
39	174	4197
40	175	4104
41	176	4016
42	176	3932
43	177	3851
44	177	3774
45	178	3701
46	179	3630
47	179	3562
48	180	3498
49	180	3436
50	182	3389
51	182	3333
52	183	3278
53	184	3226
54	184	3174
55	185	3124
56	185	3075
57	186	3028
58	187	2983
59	187	2939
60	188	2896
61	188	2855
62	189	2815
63	189	2777
64	191	2753
65	192	2718
66	192	2683
67	193	2649
68	193	2616
69	194	2583
70	195	2551
71	195	2520
72	196	2491
73	196	2463
74	197	2436
75	198	2410
76	198	2384
77	199	2358
78	200	2333
79	200	2308
80	201	2283
81	201	2260
82	202	2233
83	202	2210
84	203	2188
85	203	2167
86	204	2145
87	205	2125
88	205	2104
89	206	2085
90	206	2065
91	207	2046
92	207	2028
93	208	2010
94	209	1992
95	209	1974
96	210	1957
97	210	1940
98	211	1923
99	212	1908
100	212	1895
101	213	1880
102	214	1864
103	214	1849
104	215	1834
105	215	1819
106	216	1805
107	216	1791
108	217	1777
109	217	1763
110	218	1749
111	219	1736
112	219	1723
113	220	1710
114	220	1698
115	221	1685
116	221	1672
117	222	1660
118	222	1649
119	223	1637
120	223	1626
121	224	1614
122	224	1603
123	225	1592
124	225	1581
125	226	1571
126	227	1561
127	227	1553
128	228	1543
129	229	1533
130	229	1523
131	230	1513
132	230	1504
133	231	1494
134	231	1485
135	232	1476
136	232	1467
137	233	1458
138	234	1449
139	234	1441
140	235	1432
141	235	1423
142	236	1414
143	236	1406
144	237	1398
145	237	1390
146	238	1382
147	238	1374
148	239	1366
149	239	1359
150	240	1352
151	241	1345
152	241	1338
153	243	1335
154	243	1329
155	244	1323
156	245	1317
157	246	1311
158	246	1304
159	247	1297
160	247	1290
161	248	1283
162	248	1277
163	249	1270
164	249	1264
165	250	1260
166	251	1254
167	252	1248
168	252	1242
169	253	1236
170	253	1230
171	254	1224
172	255	1219
173	255	1213
174	256	1207
175	256	1202
176	257	1198
177	258	1194
178	259	1188
179	259	1183
180	260	1178
181	261	1174
182	261	1169
183	262	1164
184	263	1158
185	263	1153
186	264	1148
187	264	1143
188	265	1138
189	265	1133
190	266	1128
191	267	1124
192	267	1119
193	268	1114
194	268	1109
195	269	1104
196	269	1099
197	270	1095
198	270	1090
199	271	1085
200	271	1081
201	272	1077
202	273	1073
203	274	1069
204	274	1065
205	275	1061
206	276	1057
207	276	1053
208	277	1049
209	277	1045
210	278	1041
211	278	1036
212	279	1032
213	280	1028
214	280	1024
215	281	1021
216	281	1017
217	282	1013
218	283	1009
219	283	1005
220	284	1001
221	284	997
222	285	993
223	285	989
224	286	986
225	286	982
226	287	980
227	288	977
228	289	973
229	290	970
230	290	967
231	291	964
232	291	960
233	292	957
234	292	953
235	293	950
236	294	947
237	294	943
238	295	940
239	295	937
240	296	933
241	297	930
242	297	927
243	298	924
244	298	920
245	299	917
246	299	914
247	300	911
248	301	908
249	301	905
250	302	902
251	303	899
252	303	896
253	304	893
254	304	890
255	305	887
256	305	884
257	306	881
258	307	878
259	307	875
260	308	872
261	308	869
262	309	866
263	309	863
264	310	860
265	310	857
266	311	854
267	311	851
268	312	849
269	313	847
270	313	844
271	314	841
272	315	839
273	315	836
274	316	833
275	316	831
276	317	829
277	318	827
278	319	825
279	319	822
280	320	820
281	321	817
282	321	814
283	322	812
284	322	809
285	323	807
286	323	804
287	324	802
288	325	800
289	325	797
290	326	795
291	326	792
292	327	790
293	328	788
294	328	785
295	329	783
296	330	781
297	330	778
298	331	776
299	331	774
300	332	772
301	333	770
302	334	768
303	334	766
304	335	764
305	335	761
306	336	759
307	337	757
308	337	755
309	338	753
310	339	751
311	339	749
312	340	747
313	341	745
314	341	743
315	342	741
316	343	739
317	343	737
318	344	734
319	344	732
320	345	730
321	345	728
322	346	726
323	347	724
324	347	722
325	348	720
326	349	718
327	349	716
328	350	714
329	351	713
330	351	711
331	352	709
332	353	707
333	353	705
334	354	703
335	355	701
336	355	699
337	356	697
338	356	695
339	357	693
340	357	691
341	358	689
342	359	688
343	359	686
344	360	684
345	361	682
346	361	680
347	362	679
348	363	677
349	364	676
350	365	676
351	366	674
352	366	672
353	367	670
354	368	669
355	368	667
356	369	665
357	370	663
358	370	661
359	371	659
360	371	657
361	372	656
362	373	654
363	373	653
364	374	651
365	375	649
366	375	648
367	376	646
368	377	644
369	377	643
370	378	641
371	379	640
372	380	639
373	381	637
374	381	636
375	382	634
376	383	633
377	383	631
378	384	630
379	385	628
380	385	627
381	386	625
382	387	623
383	387	621
384	388	620
385	389	618
386	389	617
387	390	615
388	390	613
389	391	612
390	392	610
391	392	609
392	393	607
393	394	606
394	394	604
395	395	603
396	396	601
397	396	599
